cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
PTSD,29,31,14,2,4,ITI,ITI,172,0.08139534883720931,10,24,0.4166666666666667,Threat-like,Global on
PTSD,17,19,14,1,3,ITI,ITI,173,0.08092485549132948,10,24,0.4166666666666667,Global off,Safety-like
PTSD,32,20,32,4,3,ITI,ITI,400,0.08,16,24,0.6666666666666666,Global on,Safety-like
PTSD,20,28,19,3,4,ITI,ITI,238,0.07983193277310924,9,24,0.375,Safety-like,Global on
PTSD,6,5,7,1,1,CS-,CS-,88,0.07954545454545454,6,24,0.25,Global off,Global off
PTSD,31,29,15,4,2,ITI,ITI,206,0.07281553398058252,9,24,0.375,Global on,Threat-like
PTSD,3,9,7,1,1,ITI,ITI,99,0.0707070707070707,7,24,0.2916666666666667,Global off,Global off
merged,24,32,58,4,4,ITI,ITI,289,0.20069204152249134,32,48,0.6666666666666666,Global on,Global on
merged,3,1,37,1,1,ITI,ITI,204,0.18137254901960784,24,48,0.5,Global off,Global off
merged,9,1,52,1,1,ITI,ITI,287,0.18118466898954705,31,48,0.6458333333333334,Global off,Global off
merged,31,32,72,4,4,ITI,ITI,438,0.1643835616438356,38,48,0.7916666666666666,Global on,Global on
merged,2,1,69,1,1,ITI,ITI,441,0.1564625850340136,35,48,0.7291666666666666,Global off,Global off
merged,14,13,47,2,2,ITI,ITI,309,0.15210355987055016,28,48,0.5833333333333334,Threat-like,Threat-like
merged,30,32,29,4,4,ITI,ITI,201,0.14427860696517414,21,48,0.4375,Global on,Global on
merged,28,32,50,4,4,ITI,ITI,347,0.1440922190201729,29,48,0.6041666666666666,Global on,Global on
merged,20,32,71,3,4,ITI,ITI,494,0.1437246963562753,37,48,0.7708333333333334,Safety-like,Global on
merged,27,32,23,4,4,ITI,ITI,163,0.1411042944785276,15,48,0.3125,Global on,Global on
merged,7,5,16,1,1,ITI,ITI,120,0.13333333333333333,13,48,0.2708333333333333,Global off,Global off
merged,28,20,45,4,3,ITI,ITI,347,0.12968299711815562,29,48,0.6041666666666666,Global on,Safety-like
merged,15,13,25,2,2,ITI,ITI,194,0.12886597938144329,19,48,0.3958333333333333,Threat-like,Threat-like
merged,5,1,46,1,1,ITI,ITI,358,0.12849162011173185,29,48,0.6041666666666666,Global off,Global off
merged,10,1,24,1,1,ITI,ITI,194,0.12371134020618557,17,48,0.3541666666666667,Global off,Global off
merged,26,32,15,4,4,ITI,CS-,123,0.12195121951219512,12,48,0.25,Global on,Global on
merged,29,32,46,2,4,ITI,ITI,379,0.12137203166226913,27,48,0.5625,Threat-like,Global on
merged,19,20,33,3,3,ITI,ITI,277,0.11913357400722022,25,48,0.5208333333333334,Safety-like,Safety-like
merged,6,1,18,1,1,ITI,ITI,154,0.11688311688311688,15,48,0.3125,Global off,Global off
merged,7,1,14,1,1,CS+,ITI,120,0.11666666666666667,10,48,0.20833333333333334,Global off,Global off
merged,19,32,32,3,4,ITI,ITI,277,0.11552346570397112,23,48,0.4791666666666667,Safety-like,Global on
merged,24,20,33,4,3,ITI,ITI,289,0.11418685121107267,23,48,0.4791666666666667,Global on,Safety-like
merged,23,31,21,4,4,ITI,ITI,184,0.11413043478260869,18,48,0.375,Global on,Global on
merged,18,32,21,3,4,ITI,CS+,189,0.1111111111111111,14,48,0.2916666666666667,Safety-like,Global on
merged,4,1,44,3,1,ITI,ITI,397,0.11083123425692695,27,48,0.5625,Safety-like,Global off
merged,23,32,20,4,4,ITI,ITI,184,0.10869565217391304,16,48,0.3333333333333333,Global on,Global on
merged,18,20,20,3,3,ITI,ITI,189,0.10582010582010581,13,48,0.2708333333333333,Safety-like,Safety-like
merged,27,19,17,4,3,ITI,ITI,163,0.10429447852760736,12,48,0.25,Global on,Safety-like
merged,5,13,37,1,2,ITI,ITI,358,0.10335195530726257,23,48,0.4791666666666667,Global off,Threat-like
merged,15,32,20,2,4,ITI,ITI,194,0.10309278350515463,16,48,0.3333333333333333,Threat-like,Global on
merged,22,31,7,4,4,ITI,ITI,69,0.10144927536231885,6,48,0.125,Global on,Global on
merged,16,32,39,4,4,ITI,ITI,386,0.10103626943005181,25,48,0.5208333333333334,Global on,Global on
merged,14,1,31,2,1,CS-,ITI,309,0.10032362459546926,21,48,0.4375,Threat-like,Global off
merged,8,4,20,3,3,CS+,ITI,200,0.1,16,48,0.3333333333333333,Safety-like,Safety-like
merged,30,13,20,4,2,ITI,CS+,201,0.09950248756218906,17,48,0.3541666666666667,Global on,Threat-like
merged,10,2,19,1,1,ITI,ITI,194,0.0979381443298969,14,48,0.2916666666666667,Global off,Global off
merged,12,1,18,3,1,ITI,ITI,185,0.0972972972972973,14,48,0.2916666666666667,Safety-like,Global off
merged,21,1,21,1,1,ITI,ITI,224,0.09375,14,48,0.2916666666666667,Global off,Global off
merged,17,1,35,1,1,ITI,ITI,379,0.09234828496042216,24,48,0.5,Global off,Global off
merged,17,20,34,1,3,ITI,ITI,379,0.08970976253298153,28,48,0.5833333333333334,Global off,Safety-like
merged,25,1,20,1,1,ITI,ITI,223,0.08968609865470852,18,48,0.375,Global off,Global off
merged,25,32,20,1,4,ITI,ITI,223,0.08968609865470852,14,48,0.2916666666666667,Global off,Global on
merged,13,1,45,2,1,ITI,ITI,502,0.08964143426294821,28,48,0.5833333333333334,Threat-like,Global off
merged,11,4,7,1,3,CS+,CS+,79,0.08860759493670886,6,48,0.125,Global off,Safety-like
merged,11,9,7,1,1,ITI,ITI,79,0.08860759493670886,7,48,0.14583333333333334,Global off,Global off
merged,1,2,68,1,1,ITI,ITI,770,0.08831168831168831,33,48,0.6875,Global off,Global off
merged,9,13,25,1,2,ITI,ITI,287,0.08710801393728224,21,48,0.4375,Global off,Threat-like
merged,22,21,6,4,1,ITI,ITI,69,0.08695652173913043,4,48,0.08333333333333333,Global on,Global off
merged,32,28,67,4,4,ITI,ITI,793,0.08448928121059268,36,48,0.75,Global on,Global on
merged,1,5,64,1,1,ITI,ITI,770,0.08311688311688312,33,48,0.6875,Global off,Global off
merged,20,28,41,3,4,ITI,ITI,494,0.08299595141700405,22,48,0.4583333333333333,Safety-like,Global on
merged,12,4,15,3,3,CS-,ITI,185,0.08108108108108109,9,48,0.1875,Safety-like,Safety-like
merged,8,32,16,3,4,ITI,ITI,200,0.08,13,48,0.2708333333333333,Safety-like,Global on
merged,4,2,31,3,1,ITI,ITI,397,0.07808564231738035,23,48,0.4791666666666667,Safety-like,Global off
merged,6,5,12,1,1,ITI,CS-,154,0.07792207792207792,11,48,0.22916666666666666,Global off,Global off
merged,2,4,34,1,3,ITI,ITI,441,0.07709750566893424,21,48,0.4375,Global off,Safety-like
merged,13,14,38,2,2,ITI,ITI,502,0.07569721115537849,22,48,0.4583333333333333,Threat-like,Threat-like
merged,32,31,59,4,4,ITI,CS-,793,0.07440100882723834,32,48,0.6666666666666666,Global on,Global on
merged,29,1,28,2,1,ITI,ITI,379,0.07387862796833773,21,48,0.4375,Threat-like,Global off
merged,26,1,9,4,1,ITI,ITI,123,0.07317073170731707,8,48,0.16666666666666666,Global on,Global off
merged,31,29,32,4,2,ITI,ITI,438,0.0730593607305936,19,48,0.3958333333333333,Global on,Threat-like
merged,16,13,28,4,2,ITI,ITI,386,0.07253886010362694,23,48,0.4791666666666667,Global on,Threat-like
merged,21,31,16,1,4,ITI,ITI,224,0.07142857142857142,14,48,0.2916666666666667,Global off,Global on
